,_unit_id,civilians,militants_terrorists_insurgents,security_forces,districtmatch,eventid,report_date,state_full,svmlabel1,svmlabel1prob,verb
98,711601441,0.0,3.0,0.0,kathua,1051,04-10-2000,Jammu and Kashmir,terrorist,0.991779327,killed
99,711601442,,11000.0,,srinagar,1056,04-10-2000,Jammu and Kashmir,terrorist,0.9792185259999999,killed
100,711601443,0.0,3.0,0.0,imphal west,1089,04-10-2000,Manipur,civilian,0.853591973,killed
101,711601444,11.0,0.0,0.0,karbi anglong,1129,04-11-2000,Assam,civilian,0.770560035,killed
102,711601445,,1.0,,sibsagar,1131,04-11-2000,Assam,terrorist,0.99908227,killed
103,711601446,3.0,18.0,4.0,jammu,1135,04-11-2000,Jammu and Kashmir,civilian,0.774558953,killed
104,711601447,0.0,8.0,3.0,baramullah,1136,04-11-2000,Jammu and Kashmir,security,0.931193887,killed
105,711601448,0.0,5.0,0.0,khammam,1149,04-11-2000,,terrorist,0.996002988,killed
106,711601449,2.0,0.0,0.0,dhalai,1168,04-12-2000,Tripura,civilian,0.895373713,killed
107,711601450,0.0,1.0,1.0,karimnagar,1181,04-12-2000,Andhra Pradesh,terrorist,0.989463331,killed
108,711601451,0.0,3.0,0.0,bandipora,1189,04-12-2000,,terrorist,0.987558467,killed
109,711601452,0.0,1.0,0.0,rajouri,1194,04-12-2000,,terrorist,0.986508885,killed
110,711601453,0.0,0.0,1.0,srinagar,1212,4/13/00,Jammu and Kashmir,civilian,0.505970179,killed
111,711601454,0.0,0.0,12.0,srinagar,1212,4/13/00,Jammu and Kashmir,security,0.443174396,injured
112,711601455,0.0,1.0,0.0,srinagar,1218,4/13/00,Jammu and Kashmir,terrorist,0.9792185259999999,killed
113,711601456,0.0,1.0,0.0,srinagar,1221,4/13/00,Jammu and Kashmir,terrorist,0.995324897,arrested
114,711601457,0.0,3.0,0.0,poonch,1224,4/13/00,Jammu and Kashmir,terrorist,0.988377945,killed
115,711601458,1.0,2.0,1.0,udhampur,1225,4/13/00,Jammu and Kashmir,security,0.997730107,killed
116,711601459,5.0,4.0,0.0,jammu,1243,4/14/00,Jammu and Kashmir,terrorist,0.939890861,killed
117,711601460,0.0,1.0,0.0,kupwara,1245,4/14/00,Jammu and Kashmir,civilian,0.9659409170000001,killed
118,711601461,0.0,1.0,0.0,anantnag,1251,4/14/00,Jammu and Kashmir,terrorist,0.986326502,arrested
